id,question,recycling,reason
1,PET,always,NA
1,paper,very often,To time consuming
1,cardboard,always,NA
1,glas,always,NA
1,milkcarton,never,I did not know one could recycle it
1,plasticbottles,always,NA
1,plasticpackaging,never,I did not know one could recycle it
1,aluminium,always,NA
1,steel,always,NA
1,electronics,never,I keep them because I think I can use them again
1,batteries,always,NA
1,coffeecapsules,I do not use/buy,NA
2,PET,always,NA
2,paper,sometimes,It is not important to me
2,cardboard,sometimes,It is not important to me
2,glas,always,NA
2,milkcarton,never,I did not know one could recycle it
2,plasticbottles,always,NA
2,plasticpackaging,never,I do not know where to bring it
2,aluminium,always,NA
2,steel,always,NA
2,electronics,always,NA
2,batteries,always,NA
2,coffeecapsules,I do not use/buy,NA
3,PET,always,NA
3,paper,always,NA
3,cardboard,always,NA
3,glas,always,NA
3,milkcarton,always,NA
3,plasticbottles,very often,To time consuming
3,plasticpackaging,sometimes,No recycling opportunity near me
3,aluminium,very often,No recycling opportunity near me
3,steel,always,NA
3,electronics,always,NA
3,batteries,always,NA
3,coffeecapsules,I do not use/buy,NA
4,PET,very often,To time consuming
4,paper,very often,To time consuming
4,cardboard,always,NA
4,glas,I do not use/buy,NA
4,milkcarton,never,I did not know one could recycle it
4,plasticbottles,I do not use/buy,NA
4,plasticpackaging,never,I do not know where to bring it
4,aluminium,very often,No recycling opportunity near me
4,steel,I do not use/buy,NA
4,electronics,always,NA
4,batteries,I do not use/buy,NA
4,coffeecapsules,I do not use/buy,NA
5,PET,I do not use/buy,NA
5,paper,very often,No recycling opportunity near me
5,cardboard,always,NA
5,glas,always,NA
5,milkcarton,never,I did not know one could recycle it
5,plasticbottles,always,NA
5,plasticpackaging,never,I did not know one could recycle it
5,aluminium,always,NA
5,steel,always,NA
5,electronics,always,NA
5,batteries,always,NA
5,coffeecapsules,I do not use/buy,NA
6,PET,always,NA
6,paper,always,NA
6,cardboard,always,NA
6,glas,always,NA
6,milkcarton,never,I did not know one could recycle it
6,plasticbottles,always,NA
6,plasticpackaging,never,To time consuming
6,aluminium,always,NA
6,steel,always,NA
6,electronics,always,NA
6,batteries,always,NA
6,coffeecapsules,I do not use/buy,NA
7,PET,I do not use/buy,NA
7,paper,always,NA
7,cardboard,always,NA
7,glas,always,NA
7,milkcarton,always,NA
7,plasticbottles,I do not use/buy,NA
7,plasticpackaging,never,I did not know one could recycle it
7,aluminium,always,NA
