"Date Started","age","gender","zh_citizen","recycling_recognition","recycling_orientation","visible_close","","visible_close","","invisible_close","","invisible_close_unknown","","invisible_far","","invisible_far_unknown","","search_location","self_filled"
"19.04.2022","23","woman","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","Other, please specify below. = glass;Other, please specify below. = alu","if its on my way, i'd dispose of it in the rcp","I would throw it into the regular bin right next to me. = glass;I would throw it into the regular bin right next to me. = alu","if it's on my way dispose in rcp","Other, please specify below. = glass;Other, please specify below. = alu","if its on my way, i'd dispose of it in the rcp","I would find out where the next RCP is and decide to throw it into the regular bin. = glass;I would find out where the next RCP is and decide to throw it into the regular bin. = alu","","Unlikely","No"
"19.04.2022","35","man","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","Very Likely","No"
"19.04.2022","58","man","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","Very Likely","No"
"19.04.2022","47","woman","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would throw it into the regular bin right next to me. = glass;I would throw it into the regular bin right next to me. = alu","","I would throw it into the regular bin right next to me. = glass;I would throw it into the regular bin right next to me. = alu","","I would throw it into the regular bin right next to me. = glass;I would throw it into the regular bin right next to me. = alu","","I would throw it into the regular bin right next to me. = glass;I would throw it into the regular bin right next to me. = alu","","I would throw it into the regular bin right next to me. = glass;I would throw it into the regular bin right next to me. = alu","","Likely","Yes"
"19.04.2022","21","man","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu;Other, please specify below. = alu","most of the time can in rcp","I would take it with me and dispose it later. = glass;Other, please specify below. = alu","can in bin","I would walk to the RCP and throw it into the container. = glass;Other, please specify below. = alu","most of the time can in rcp","I would take it with me and dispose it later. = glass;Other, please specify below. = alu","","Likely","No"
"19.04.2022","44","woman","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","Unlikely","No"
"19.04.2022","25","man","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","Unlikely","No"
"19.04.2022","39","woman","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","Very Unlikely","No"
"19.04.2022","24","man","No","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would throw it into the regular bin right next to me. = alu;I would take it with me and dispose it later. = glass","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","Unlikely","Yes"
"20.04.2022","33","man","Yes","Yes","Yes","I would walk to the RCP and throw it into the container. = glass;I would walk to the RCP and throw it into the container. = alu","","I would take it with me and dispose it later. = glass;I would take it with me and dispose it later. = alu","","","","","","","","","","",""
