"Date Started","general_country","general_gender","general_job","general_departement","residency","housing_family","housing_condition"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","ITET","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Germany","Male","ETH student (Bachelor/Master/PhD)","MTEC","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","INFK","Near Zürich (Umland)","Yes","Shared house"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","INFK","Near Zürich (Umland)","Yes","Shared flat"
"07.04.2022","Switzerland","Female","ETH student (Bachelor/Master/PhD)","MATL","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","INFK","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Switzerland","Female","ETH student (Bachelor/Master/PhD)","MATL","Near Zürich (Umland)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","MAVT","Not near Zürich","Yes","Shared house"
"07.04.2022","Italy","Male","ETH student (Bachelor/Master/PhD)","INFK","Zürich City (Kreis xx)","Yes","Shared flat"
"07.04.2022","China","Male","University student","I do not work/study at ETH","Near Zürich (Umland)","No","Shared flat"
"07.04.2022","Germany","Male","ETH student (Bachelor/Master/PhD)","ITET","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Spain","Male","ETH student (Bachelor/Master/PhD)","MAVT","Near Zürich (Umland)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","CHAB","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Iceland","Male","ETH student (Bachelor/Master/PhD)","INFK","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Germany","Male","ETH student (Bachelor/Master/PhD)","MATL","Near Zürich (Umland)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","MAVT","Near Zürich (Umland)","Yes","Shared house"
"07.04.2022","Luxembourg","Male","ETH student (Bachelor/Master/PhD)","MATL","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","MAVT","Near Zürich (Umland)","Yes","Shared house"
"07.04.2022","China","Male","ETH student (Bachelor/Master/PhD)","MAVT","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Brazil","Male","ETH student (Bachelor/Master/PhD)","BIOL","Zürich City (Kreis xx)","No","Own flat"
"07.04.2022","Turkey","Male","ETH student (Bachelor/Master/PhD)","PHYS","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","ITET","Not near Zürich","Yes","Shared house"
"07.04.2022","Switzerland","Female","ETH student (Bachelor/Master/PhD)","USYS","Zürich City (Kreis xx)","Yes","Shared flat"
"07.04.2022","Switzerland","Male","ETH student (Bachelor/Master/PhD)","PHYS","Not near Zürich","Yes","Shared house"
"07.04.2022","Italy","Male","Post doc","HEST","Zürich City (Kreis xx)","No","Own flat"
"07.04.2022","Switzerland","Female","ETH student (Bachelor/Master/PhD)","MATH","Zürich City (Kreis xx)","Yes","Shared flat"
"07.04.2022","Switzerland","Male","","MTEC","Zürich City (Kreis xx)","No","Shared flat"
"07.04.2022","","","","","","",""
"07.04.2022","","","","","","",""
"07.04.2022","","","","","","",""
"09.05.2022","","","","","","",""
